1,0.0075
0,0.05471
1,0.11007
1,0.15586
0,0.20399
0,0.25613
1,0.30609
1,0.35673
0,0.40709
1,0.45749
0,0.50516
0,0.55934
1,0.60911
0,0.65744
0,0.70544
0,0.74857
0,0.79854
1,0.84607
0,0.89674
1,0.94723
1,0.99701
0,1.04725
1,1.09784
1,1.14681
1,1.19734
1,1.24718
0,1.29758
0,1.34264
0,1.39385
0,1.44305
1,1.49683
0,1.54211
0,1.59484
0,1.64448
0,1.69423
1,1.74517
1,1.7942
0,1.84503
0,1.89328
1,1.93533
1,1.99376
0,2.05003
0,2.09649
0,2.14394
1,2.18689
0,2.23699
1,2.28476
0,2.33505
1,2.38569
0,2.43703
1,2.48563
0,2.53516
0,2.58593
1,2.63569
0,2.6845
1,2.73156
1,2.78503
0,2.83076
1,2.88172
0,2.93241
0,2.98368
1,3.03053
0,3.08258
1,3.12328
1,3.1738
0,3.22346
1,3.28055
1,3.3245
0,3.37409
0,3.43229
1,3.47468
1,3.52346
1,3.57456
0,3.62586
1,3.67247
1,3.72508
1,3.77303
0,3.8231
1,3.87421
1,3.92451
0,3.97454
0,4.0228
1,4.07276
1,4.12308
1,4.17103
0,4.22163
0,4.27006
0,4.32142
1,4.37413
0,4.42508
1,4.47119
1,4.51231
0,4.57016
1,4.62292
0,4.67226
1,4.72278
1,4.77256
0,4.82308
0,4.87305
1,4.92174
0,4.96355
0,5.01141
